,City,Country,Latitude,Longitude,Cloudiness,Date,Humidity,Max Temp,Wind Speed
138,Mehamn,NO,71.03,27.85,75,1551736200,78,19.4,21.92
139,Souillac,FR,45.6,-0.6,0,1551737888,81,48.99,6.93
140,Udarnyy,RU,54.34,42.86,88,1551738025,87,25.73,5.73
141,Madisonville,US,37.33,-87.5,40,1551737945,62,25.0,11.41
142,Lagoa,PT,37.14,-8.45,40,1551737826,93,59.0,6.93
143,Nouakchott,MR,18.08,-15.98,0,1551735000,8,73.4,6.93
144,Bougouni,ML,11.42,-7.49,0,1551738027,25,75.23,8.63
145,Kyzyl-Mazhalyk,RU,51.15,90.58,0,1551738027,56,-0.42,1.92
146,Karachi,PK,24.87,67.03,0,1551734700,77,68.0,3.36
147,Gossas,SN,14.49,-16.06,8,1551733200,35,84.2,4.7
148,Bathsheba,BB,13.22,-59.52,40,1551733200,69,80.6,19.46
149,Port Alfred,ZA,-33.59,26.89,24,1551737959,93,69.01,3.0
150,Saldanha,PT,41.42,-6.55,88,1551737964,73,44.45,3.15
151,Emerald,AU,-23.53,148.16,90,1551737966,57,77.0,12.75
152,Atasu,KZ,48.68,71.64,0,1551738029,83,11.92,11.21
153,Inhambane,MZ,-23.87,35.38,88,1551738029,89,81.76,10.87
154,Concarneau,FR,47.88,-3.92,92,1551738021,81,48.99,13.87
155,Baruun-Urt,MN,46.68,113.28,44,1551738030,78,17.5,11.21
156,Kiruna,SE,67.86,20.23,0,1551734400,71,3.2,5.82
157,Hamilton,BM,32.3,-64.78,75,1551737793,88,71.6,17.22
158,Nome,US,30.04,-94.42,90,1551738008,69,41.0,14.99
159,Zverinogolovskoye,RU,54.46,64.85,0,1551738033,78,17.05,12.44
160,Caravelas,BR,-17.73,-39.27,68,1551738033,100,81.67,14.56
161,Medvedok,RU,57.39,50.04,44,1551738033,60,-3.07,3.15
162,Lufilufi,WS,-13.87,-171.6,68,1551737607,66,84.0,16.46
163,Radviliskis,LT,55.82,23.53,0,1551736200,93,41.0,13.87
164,Asuncion,PY,-25.3,-57.63,0,1551736800,46,93.2,4.7
165,Ilulissat,GL,69.22,-51.1,75,1551732600,78,12.2,6.93
166,San Pedro,AR,-33.68,-59.66,48,1551737590,75,73.0,1.01
167,Catemaco,MX,18.42,-95.11,5,1551736827,78,84.99,23.04
168,Lasem,ID,-6.99,112.52,40,1551735000,100,78.8,2.24
169,Dali,CN,25.6,100.24,12,1551738036,84,46.93,4.61
170,Longyearbyen,NO,78.22,15.63,75,1551732600,77,-2.21,4.7
171,Arlit,NE,18.74,7.39,0,1551738037,29,64.03,3.83
172,Los Llanos de Aridane,ES,28.66,-17.92,0,1551736803,59,62.6,10.29
173,Comodoro Rivadavia,AR,-45.87,-67.48,40,1551733200,24,68.0,28.86
174,Waipawa,NZ,-39.94,176.59,0,1551738039,63,62.05,10.54
175,Mao,DO,19.55,-71.08,20,1551737856,48,87.01,13.87
176,Salalah,OM,17.01,54.1,0,1551732600,64,75.2,3.36
177,Fortuna,ES,38.18,-1.13,0,1551738025,45,68.0,16.11
178,San Cristobal,EC,-0.39,-78.55,75,1551736962,77,64.4,9.17
179,Saint-Joseph,FR,43.56,6.97,0,1551738010,28,60.8,6.93
180,Port Moresby,PG,-9.47,147.16,20,1551733200,83,77.0,2.24
181,Trinidad,UY,-33.52,-56.9,100,1551737888,97,69.61,7.4
182,Benguela,AO,-12.58,13.4,24,1551738043,100,80.59,6.4
183,Flinders,AU,-34.58,150.85,0,1551738030,94,78.01,8.05
184,Wilmington,US,39.75,-75.55,1,1551737792,50,37.99,11.41
185,Mogocha,RU,53.73,119.76,0,1551738044,74,8.14,4.72
186,Aykhal,RU,65.95,111.51,36,1551737821,78,9.31,8.41
187,Ventspils,LV,57.39,21.56,90,1551736200,93,41.0,25.28
188,Iisalmi,FI,63.56,27.19,90,1551736200,85,19.4,2.24
189,Den Helder,NL,52.96,4.76,90,1551737827,81,46.99,21.92
190,Kloulklubed,PW,7.04,134.26,75,1551736200,78,80.6,11.41
191,Pevek,RU,69.7,170.27,32,1551738045,86,-0.28,5.61
192,Gat,SN,14.69,-16.54,8,1551736800,56,68.0,20.8
193,Kaniama,CD,-7.57,24.18,48,1551738046,95,68.53,2.37
194,Luderitz,NA,-26.65,15.16,0,1551738046,70,66.55,23.06
195,Doha,QA,25.29,51.53,0,1551735000,48,64.4,13.87
196,Katav-Ivanovsk,RU,54.75,58.21,68,1551738047,78,16.87,6.62
197,Sisimiut,GL,66.94,-53.67,8,1551738047,78,3.68,3.04
198,Syracuse,US,43.05,-76.15,90,1551738040,85,21.99,9.17
199,Lososina,RU,49.0,140.31,0,1551738051,81,11.65,7.85
200,Faanui,PF,-16.48,-151.75,68,1551738051,100,82.66,6.96
201,Dingle,PH,11.0,122.67,56,1551737933,83,75.73,13.22
202,Grindavik,IS,63.84,-22.43,40,1551737355,73,26.6,11.41
203,Sandi,IN,27.29,79.95,12,1551738052,88,58.81,3.71
204,Neuquen,AR,-38.95,-68.06,0,1551733200,21,75.2,17.22
205,Bamiantong,CN,44.93,130.53,8,1551738053,69,17.68,2.37
206,Thinadhoo,MV,0.53,72.93,92,1551738053,99,83.56,7.74
207,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,0,1551735000,65,6.8,4.47
208,Kruisfontein,ZA,-34.0,24.73,8,1551738054,83,63.49,10.76
209,Nizwa,OM,22.93,57.53,0,1551738054,56,47.74,3.71
210,Jerusalem,PS,31.78,35.23,0,1551737820,93,55.4,1.12
211,Tilichiki,RU,60.47,166.1,88,1551737566,79,17.59,13.56
212,Airai,TL,-8.93,125.41,8,1551738055,88,67.0,1.25
213,Trelew,AR,-43.25,-65.31,0,1551738055,20,71.72,17.47
214,Boende,CD,-0.28,20.88,32,1551738055,95,71.0,1.36
215,Iqaluit,CA,63.75,-68.52,90,1551737587,76,-5.01,2.24
216,Mariental,DE,52.28,10.99,56,1551738016,73,45.0,11.99
217,Saint-Augustin,FR,44.83,-0.61,75,1551738031,81,51.8,8.05
218,Lompoc,US,34.64,-120.46,75,1551738044,59,64.0,11.41
219,Puerto Leguizamo,CO,-0.19,-74.78,20,1551738057,73,84.77,3.6
220,Marsa Matruh,EG,31.35,27.25,75,1551733200,87,53.6,3.36
221,Barentu,ER,15.11,37.59,12,1551738058,33,66.19,4.94
222,Sitka,US,37.17,-99.65,12,1551737714,64,19.0,8.01
223,Ribeira Grande,PT,38.52,-28.7,75,1551733200,87,59.0,28.86
224,Colon,US,41.3,-96.61,1,1551738058,51,16.0,13.87
225,Talara,PE,-4.58,-81.27,0,1551736800,290,62.6,9.17
226,Athni,IN,16.73,75.07,0,1551738059,78,62.5,6.85
227,Douglas,US,31.34,-109.55,1,1551738045,14,73.0,4.7
228,Torrelavega,ES,43.35,-4.05,40,1551738024,76,55.99,5.82
229,Tyumentsevo,RU,53.32,81.5,92,1551738061,96,33.07,16.13
230,Pangnirtung,CA,66.15,-65.72,90,1551733200,59,1.4,4.05
231,Barrow,AR,-38.31,-60.23,0,1551738060,52,78.34,7.4
232,Tazovskiy,RU,67.47,78.7,68,1551738067,85,17.45,21.16
233,Mandurah,AU,-32.55,115.7,8,1551738005,68,68.0,18.34
234,Narsaq,GL,60.91,-46.05,75,1551736200,58,28.4,4.7
235,Kondinskoye,RU,59.65,67.41,32,1551738074,83,10.7,5.39
236,Chernyshevskiy,RU,63.01,112.47,36,1551738075,80,11.42,7.96
237,Naryan-Mar,RU,67.67,53.09,8,1551738075,57,-6.58,7.85
238,Fort Payne,US,34.44,-85.72,90,1551738022,63,39.99,10.29
239,Severo-Kurilsk,RU,50.68,156.12,48,1551737985,100,22.18,9.64
240,Phetchaburi,TH,13.1,99.94,0,1551738077,97,83.42,17.81
241,Kampot,KH,10.62,104.18,20,1551735000,94,71.6,2.24
242,Walvis Bay,NA,-22.95,14.51,0,1551736925,77,68.0,6.93
243,Klaksvik,FO,62.23,-6.59,92,1551736200,99,39.2,21.92
244,Saint Anthony,US,43.97,-111.68,1,1551738042,53,30.0,3.36
245,Lapeer,US,43.05,-83.32,75,1551737943,56,16.0,12.75
246,Belle Fourche,US,44.67,-103.85,1,1551738016,40,14.0,14.99
247,Alvaraes,BR,-3.22,-64.8,20,1551736800,74,86.0,3.36
248,Yinchuan,CN,38.48,106.21,0,1551738079,73,22.99,6.73
249,Richards Bay,ZA,-28.77,32.06,80,1551737852,98,73.12,10.09
250,Half Moon Bay,US,37.46,-122.43,90,1551738077,81,59.0,6.93
251,Ossora,RU,59.24,163.07,64,1551738081,90,12.1,9.64
252,Natitingou,BJ,10.31,1.38,0,1551733200,26,82.4,2.24
253,Pundaguitan,PH,6.37,126.17,68,1551738082,100,78.61,7.4
254,Mineros,BO,-17.12,-63.23,20,1551736800,66,86.0,13.87
255,Fare,PF,-16.7,-151.02,64,1551738083,100,81.67,5.73
256,Fort Nelson,CA,58.81,-122.69,5,1551733200,49,23.0,12.75
257,Warrington,GB,53.39,-2.59,20,1551738082,80,42.01,9.17
258,Touros,BR,-5.2,-35.46,40,1551736800,94,77.0,3.36
259,Tucupita,VE,9.06,-62.05,48,1551738084,49,87.07,11.43
260,Yagoua,CM,10.34,15.23,20,1551738085,29,84.05,10.98
261,San Quintin,PH,17.54,120.52,0,1551738085,80,59.71,2.71
262,Majalgaon,IN,19.16,76.21,0,1551738086,54,66.73,8.08
263,Berlevag,NO,70.86,29.09,40,1551736200,57,19.4,24.16
264,Mount Isa,AU,-20.73,139.49,0,1551735000,69,73.4,3.36
265,San Patricio,PY,-26.98,-56.83,0,1551738087,43,91.75,4.27
266,Socorro,PH,13.06,121.41,100,1551736817,88,77.0,4.0
267,Bandarbeyla,SO,9.49,50.81,64,1551738087,100,78.97,13.0
268,Unnao,IN,26.54,80.49,40,1551736800,82,64.4,2.24
269,Geraldton,CA,49.72,-86.95,90,1551736800,65,3.2,10.29
270,Nantucket,US,41.28,-70.1,90,1551737612,69,39.2,6.93
271,Charters Towers,AU,-20.07,146.27,92,1551738089,87,68.57,7.74
272,Paka,HR,45.29,18.06,0,1551735000,53,51.8,6.93
273,Dikson,RU,73.51,80.55,76,1551738090,94,0.22,26.64
274,Sassandra,CI,4.95,-6.09,0,1551738090,94,83.74,10.42
275,Yerbogachen,RU,61.28,108.01,44,1551738091,81,14.44,7.18
276,Lasa,CY,34.92,32.53,40,1551737880,87,50.0,9.17
277,Southbridge,US,42.08,-72.03,75,1551738035,63,37.0,13.87
278,Harrisonburg,US,38.45,-78.87,75,1551737794,44,44.6,9.17
279,Esmeraldas,BR,-19.76,-44.31,20,1551736800,57,78.8,10.29
280,Aksarka,RU,66.56,67.8,68,1551738092,79,1.25,11.1
281,Rongcheng,CN,37.16,122.42,44,1551738093,84,30.73,3.83
282,Skjervoy,NO,70.03,20.97,75,1551732600,57,17.6,13.87
283,Chuzhou,CN,32.25,118.33,80,1551738093,88,42.2,10.54
284,Matadi,CD,-5.83,13.46,76,1551738093,78,82.52,6.96
285,Loa Janan,ID,-0.58,117.09,64,1551738094,75,80.27,3.94
286,Nerchinskiy Zavod,RU,51.31,119.61,36,1551738094,81,16.1,4.72
287,Constitucion,MX,23.99,-104.67,5,1551737417,5,84.2,13.87
288,Guangyuan,CN,32.43,105.86,92,1551738095,72,46.43,3.71
289,Soe,EE,57.91,26.05,90,1551738082,94,35.01,5.82
290,Zlitan,LY,32.47,14.57,0,1551738095,96,45.94,3.38
291,Le Port,FR,42.87,1.37,76,1551738012,70,48.0,1.48
292,Brae,GB,60.4,-1.35,100,1551736200,86,42.8,13.87
293,Esfarayen,IR,37.08,57.51,0,1551733200,69,39.2,4.7
294,Diu,IN,20.71,70.98,0,1551738097,66,65.11,8.75
295,Khorixas,NA,-20.37,14.96,0,1551738097,59,69.02,3.94
296,Hasanabad,IR,35.37,51.24,20,1551735000,36,48.2,9.17
297,Dunedin,NZ,-45.87,170.5,0,1551738098,78,69.7,7.4
298,Bakaly,RU,55.18,53.8,76,1551738098,88,16.69,3.49
299,Imaculada,BR,-7.39,-37.51,88,1551738099,74,78.65,4.5
300,Blackwater,GB,51.33,-0.78,0,1551738089,93,43.0,6.93
301,Ragandang,PH,6.66,124.12,0,1551738099,88,68.75,1.7
302,Montrose,AU,-37.81,145.34,0,1551738063,72,69.01,6.93
303,Valdivia,CL,-39.81,-73.25,20,1551736800,59,60.8,12.75
304,Nur,PL,52.67,22.32,64,1551737739,54,51.01,18.99
305,Susanville,US,40.42,-120.65,40,1551737544,49,48.2,6.93
306,Leningradskiy,RU,69.38,178.42,56,1551738101,98,7.42,3.27
307,Namibe,AO,-15.19,12.15,20,1551738101,100,77.89,6.85
308,West Bay,GB,50.71,-2.76,40,1551738084,86,42.01,8.05
309,Novobiryusinskiy,RU,56.96,97.71,20,1551738102,82,17.0,5.17
310,Newport,GB,51.59,-3.0,68,1551737862,86,42.01,13.87
311,Redmond,US,47.67,-122.12,1,1551737388,27,46.0,8.05
312,Rome,IT,41.89,12.48,20,1551737764,81,55.99,18.34
313,Owando,CG,-0.49,15.91,48,1551738104,85,77.17,3.38
314,Guerrero Negro,MX,27.97,-114.04,24,1551738104,61,68.57,9.31
315,Katsuura,JP,33.93,134.5,20,1551734400,86,46.4,9.17
316,Atherton,GB,53.52,-2.49,24,1551738082,86,42.01,8.05
317,Tondi,NG,10.88,4.75,0,1551738105,53,80.5,3.6
318,Fuling,CN,29.71,107.39,92,1551738105,100,50.3,2.59
319,Lavrentiya,RU,65.58,-170.99,80,1551738106,91,29.38,13.78
320,Billings,US,45.79,-108.5,1,1551737801,55,12.99,18.34
321,Mosquera,CO,4.71,-74.23,75,1551733200,93,57.2,5.82
322,Kavieng,PG,-2.57,150.8,88,1551738107,100,82.88,5.39
323,Tezu,IN,27.93,96.16,92,1551738107,99,47.29,1.59
324,Bethel,US,60.79,-161.76,90,1551736560,100,37.4,13.87
325,San Juan,PR,18.47,-66.12,40,1551738012,69,80.6,16.11
326,Palmer,AU,-34.85,139.16,0,1551738078,77,68.0,8.05
327,Hirara,JP,24.8,125.28,40,1551735000,82,59.0,4.7
328,Kaabong,UG,3.51,34.14,32,1551738111,61,64.52,2.82
329,Renqiu,CN,38.71,116.1,92,1551738111,100,43.87,2.59
330,Beyneu,KZ,45.32,55.19,56,1551738111,70,25.28,4.61
331,Sao Filipe,CV,14.9,-24.5,0,1551738112,89,72.58,18.03
332,Fuerte Olimpo,BR,-21.04,-57.87,0,1551738112,39,97.06,11.21
333,Toora-Khem,RU,52.47,96.11,56,1551738112,70,13.18,2.93
334,Jiangyou,CN,31.78,104.73,92,1551738113,75,46.88,2.93
335,Kaka,TM,37.35,59.62,36,1551738113,96,31.36,2.37
336,Saint George,GR,39.45,22.34,0,1551737609,65,50.0,5.82
337,Catuday,PH,16.29,119.81,0,1551738114,100,73.57,10.98
338,Spas-Klepiki,RU,55.13,40.18,92,1551737612,94,32.0,7.0
339,Bonavista,CA,48.65,-53.11,32,1551736828,89,24.01,5.99
340,Shaoyang,CN,27.23,111.45,92,1551738115,97,48.64,4.16
341,Chalus,IR,36.66,51.42,75,1551733200,87,50.0,0.92
342,Gravdal,NO,59.79,5.78,75,1551738012,93,41.0,5.82
343,Sheridan,US,39.65,-105.03,20,1551738071,53,25.0,4.94
344,Te Anau,NZ,-45.41,167.72,48,1551738116,86,62.27,11.77
345,Never,RU,53.98,124.16,0,1551738116,71,5.35,4.72
346,Orodara,BF,10.98,-4.92,0,1551733200,24,82.4,4.7
347,San Vicente,SV,13.64,-88.78,20,1551738059,62,87.8,10.29
348,Taltal,CL,-25.41,-70.49,0,1551738119,66,72.49,4.05
349,Grand Forks,US,47.91,-97.06,75,1551737758,71,12.2,18.34
350,Jinchang,CN,38.52,102.19,20,1551738119,47,5.12,2.59
351,Barcelos,PT,41.53,-8.62,40,1551737819,81,53.6,6.93
352,Rapid Valley,US,44.06,-103.15,1,1551738115,48,19.99,13.87
353,Karla,EE,59.37,24.93,90,1551737989,92,28.99,12.75
354,Galveston,US,40.58,-86.19,75,1551737917,72,14.0,17.22
355,Sokolow Podlaski,PL,52.41,22.25,92,1551737982,54,52.0,18.99
356,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75,1551736800,83,82.4,3.36
357,Santiago del Estero,AR,-27.8,-64.26,24,1551737824,98,79.69,14.23
358,Puro,PH,13.13,123.76,88,1551738121,99,73.39,3.94
359,Port-Gentil,GA,-0.72,8.78,12,1551738031,99,81.49,8.97
360,Mandiana,GN,10.62,-8.7,0,1551738123,28,74.87,7.29
361,Mokolo,CM,10.74,13.8,8,1551738123,32,78.16,5.61
362,Najran,SA,17.54,44.22,5,1551733200,24,68.0,2.71
363,Pacific Grove,US,36.62,-121.92,40,1551738124,58,60.01,12.75
364,Isangel,VU,-19.55,169.27,20,1551733200,83,82.4,6.29
365,Rosario,UY,-34.31,-57.35,75,1551737780,78,73.4,3.36
366,Matagami,NG,9.67,8.4,0,1551738132,88,66.91,3.49
367,Sabang,PH,13.72,123.58,88,1551738132,95,75.95,9.75
368,Himatnagar,IN,23.6,72.96,0,1551736800,48,64.4,2.24
369,Tarboro,US,35.9,-77.54,75,1551737844,56,48.99,4.7
370,Yerofey Pavlovich,RU,53.97,121.97,0,1551738133,67,8.63,5.17
371,Mount Gambier,AU,-37.83,140.78,90,1551736800,93,59.0,5.82
372,Minas,UY,-34.38,-55.24,90,1551736800,83,69.8,4.7
373,Kibala,TD,9.11,18.35,0,1551736800,46,91.4,6.96
374,Madawaska,CA,47.36,-68.32,90,1551738132,79,28.4,3.36
375,Poum,MK,41.28,20.71,0,1551737583,76,21.37,1.81
